891015849	20181205	201812	2018	2018.9178											USA	UNITED STATES	USA								1	042	042	04	1	1.9	1	1	1	-0.81466395112017	0								3	Catonsville, Maryland, United States	US	USMD	MD005	39.2721	-76.7319	583624	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20191205124500	https://www.fredericksburg.com/news/state_region/new-state-record-confirmed-town-in-virginia-s-blue-ridge/article_13432c46-5efe-55fd-8fce-0ad08d7e7b0d.html
891015850	20181205	201812	2018	2018.9178											USA	NORTH CAROLINA	USA								1	042	042	04	1	1.9	2	1	2	-0.81466395112017	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20191205124500	https://www.fredericksburg.com/news/state_region/new-state-record-confirmed-town-in-virginia-s-blue-ridge/article_13432c46-5efe-55fd-8fce-0ad08d7e7b0d.html
891015851	20181205	201812	2018	2018.9178	CRM	CRIMINAL						CRM			IRL	DUBLIN	IRL								1	190	190	19	4	-10.0	8	1	8	-8.82352941176468	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Louth, Louth, Ireland	EI	EI19	18297	53.9486	-6.54139	-1504338	20191205124500	https://www.rte.ie/news/dublin/2019/1205/1097180-dublin-louth-arrests/
891015852	20181205	201812	2018	2018.9178	MIL	ARMED FORCES						MIL			USA	AMERICAN	USA								0	071	071	07	2	7.4	2	1	2	-5.43608124253286	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205124500	https://www.bworldonline.com/latin-americas-generals-know-their-place/
891015853	20181205	201812	2018	2018.9178	MIL	ARMED FORCES						MIL			USAMIL	AMERICAN	USA					MIL			0	071	071	07	2	7.4	3	1	3	-5.43608124253286	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205124500	https://www.bworldonline.com/latin-americas-generals-know-their-place/
891015854	20181205	201812	2018	2018.9178	MNCJPN	HONDA	JPN					MNC													1	120	120	12	3	-4.0	10	1	10	1.23456790123457	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20191205124500	https://www.newsnation.in/auto/cars/honda-cars-sales-dip-50-per-cent-in-november-know-more-246451.html
891015855	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA																		1	043	043	04	1	2.8	1	1	1	-0.81466395112017	3	Catonsville, Maryland, United States	US	USMD	MD005	39.2721	-76.7319	583624	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20191205124500	https://www.fredericksburg.com/news/state_region/new-state-record-confirmed-town-in-virginia-s-blue-ridge/article_13432c46-5efe-55fd-8fce-0ad08d7e7b0d.html
891015856	20181205	201812	2018	2018.9178	USA	NORTH CAROLINA	USA																		1	043	043	04	1	2.8	2	1	2	-0.81466395112017	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20191205124500	https://www.fredericksburg.com/news/state_region/new-state-record-confirmed-town-in-virginia-s-blue-ridge/article_13432c46-5efe-55fd-8fce-0ad08d7e7b0d.html
891015857	20191105	201911	2019	2019.8356	IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO													1	010	010	01	1	0.0	2	1	2	0.88105726872246	4	Balkan, L'vivs'ka Oblast', Ukraine	UP	UP15	28555	50.2333	23.8667	-1034925	0								4	Balkan, L'vivs'ka Oblast', Ukraine	UP	UP15	28555	50.2333	23.8667	-1034925	20191205124500	https://hungarytoday.hu/varhelyi-eu-must-open-accesstion-talks-with-albania-north-macedonia-next-spring/
891015858	20191105	201911	2019	2019.8356	IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO													1	010	010	01	1	0.0	8	1	8	0.88105726872246	1	Turkey	TU	TU		39.059012	34.911546	TU	0								1	Turkey	TU	TU		39.059012	34.911546	TU	20191205124500	https://hungarytoday.hu/varhelyi-eu-must-open-accesstion-talks-with-albania-north-macedonia-next-spring/
