902967845	20100203	201002	2010	2010.0904	scoLEG	SCOTTISH			sco			LEG			GBR	SCOTLAND	GBR								0	020	020	02	1	3.0	12	3	12	-0.530976783887423	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20200201000000	https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
902967846	20100203	201002	2010	2010.0904	scoLEG	SCOTTISH			sco			LEG			GBR	SCOTLAND	GBR								0	020	020	02	1	3.0	18	3	18	-0.530976783887423	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200201000000	https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
902967847	20100203	201002	2010	2010.0904	scoLEG	SCOTTISH			sco			LEG			GBR	UNITED KINGDOM	GBR								0	120	120	12	3	-4.0	12	3	12	-0.530976783887423	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20200201000000	https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
902967848	20100203	201002	2010	2010.0904	scoLEG	SCOTTISH			sco			LEG			GBR	SCOTLAND	GBR								0	120	120	12	3	-4.0	18	3	18	-0.530976783887423	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200201000000	https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
902967849	20190201	201902	2019	2019.0849											LEG	CONGRESS						LEG			0	190	190	19	4	-10.0	6	1	6	-5.01089324618737	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20200201000000	https://www.ourmidland.com/business/technology/article/FCC-At-least-1-phone-company-broke-law-by-15020903.php
902967850	20190201	201902	2019	2019.0849											LEG	CONGRESS						LEG			1	190	190	19	4	-10.0	12	2	12	-5.35992806213395	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20200201000000	https://www.news4jax.com/news/politics/2020/01/31/fcc-at-least-1-phone-company-broke-law-by-sharing-location/
902967851	20190201	201902	2019	2019.0849											PHL	PHILIPPINE	PHL								1	042	042	04	1	1.9	4	1	4	1.19402985074627	0								4	Vigan, Eastern Samar, Philippines	RP	RP23	24257	11.2817	125.549	-2459764	5	Ilocos Sur, Ilocos Sur, Philippines	RP	RP29	24212	17.2613	120.534	-2428429	20200201000000	https://www.venezuelastar.com/news/263884458/visitor-arrival-at-national-museum-in-the-ilocos-up-by-12-in-2019
902967852	20190201	201902	2019	2019.0849	CAN	CANADA	CAN								CHN	CHINESE	CHN								1	015	015	01	1	0.0	2	1	2	-11.0526315789474	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20200201000000	https://www.richmond-news.com/news/richmond-people-smuggler-jailed-1.24066271
902967853	20190201	201902	2019	2019.0849	CAN	CANADA	CAN								CHN	CHINESE	CHN								1	015	015	01	1	0.0	2	1	2	-11.0526315789474	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	1	China	CH	CH		35	105	CH	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20200201000000	https://www.richmond-news.com/news/richmond-people-smuggler-jailed-1.24066271
902967854	20190201	201902	2019	2019.0849	CHE	SWITZERLAND	CHE																		0	172	172	17	4	-5.0	8	1	8	-4.13385826771654	1	Switzerland	SZ	SZ		47	8	SZ	0								1	Switzerland	SZ	SZ		47	8	SZ	20200201000000	https://www.zmescience.com/science/agriculture-science/france-bans-shredding-chicks-31012020/
