891105019	20181205	201812	2018	2018.9178	CRM	CRIMINAL						CRM													1	173	173	17	4	-5.0	6	1	6	-8.44594594594599	4	Portlaoise, Laois, Ireland	EI	EI15	18302	53.0322	-7.3	-1505109	0								4	Portlaoise, Laois, Ireland	EI	EI15	18302	53.0322	-7.3	-1505109	20191205203000	https://www.thejournal.ie/five-men-appear-in-court-hutch-murder-4920326-Dec2019/
891105020	20181205	201812	2018	2018.9178	CRM	CRIMINAL						CRM													1	190	190	19	4	-10.0	6	1	6	-8.44594594594599	4	Avondale, Wicklow, Ireland	EI	EI31	18309	52.9	-6.23333	-1500312	0								4	Avondale, Wicklow, Ireland	EI	EI31	18309	52.9	-6.23333	-1500312	20191205203000	https://www.thejournal.ie/five-men-appear-in-court-hutch-murder-4920326-Dec2019/
891105021	20181205	201812	2018	2018.9178	CRM	CRIMINAL						CRM			IRL	IRELAND	IRL								1	173	173	17	4	-5.0	2	1	2	-8.44594594594599	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20191205203000	https://www.thejournal.ie/five-men-appear-in-court-hutch-murder-4920326-Dec2019/
891105022	20181205	201812	2018	2018.9178	CRM	CRIMINAL						CRM			IRL	IRELAND	IRL								1	173	173	17	4	-5.0	2	1	2	-8.44594594594599	4	Portlaoise, Laois, Ireland	EI	EI15	18302	53.0322	-7.3	-1505109	4	Portlaoise, Laois, Ireland	EI	EI15	18302	53.0322	-7.3	-1505109	4	Portlaoise, Laois, Ireland	EI	EI15	18302	53.0322	-7.3	-1505109	20191205203000	https://www.thejournal.ie/five-men-appear-in-court-hutch-murder-4920326-Dec2019/
891105023	20181205	201812	2018	2018.9178	CRM	CRIMINAL						CRM			IRL	IRELAND	IRL								1	190	190	19	4	-10.0	4	1	4	-8.44594594594599	4	Avondale, Wicklow, Ireland	EI	EI31	18309	52.9	-6.23333	-1500312	4	Avondale, Wicklow, Ireland	EI	EI31	18309	52.9	-6.23333	-1500312	4	Avondale, Wicklow, Ireland	EI	EI31	18309	52.9	-6.23333	-1500312	20191205203000	https://www.thejournal.ie/five-men-appear-in-court-hutch-murder-4920326-Dec2019/
891105024	20181205	201812	2018	2018.9178	GBR	LONDON	GBR								BUS	COMPANIES						BUS			0	0874	087	08	2	10.0	1	1	1	-1.09756097560975	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	20191205203000	https://www.stokesentinel.co.uk/news/stoke-on-trent-news/general-election-chancellor-sajid-javid-3613097
891105025	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR								BUS	COMPANIES						BUS			0	0874	087	08	2	10.0	3	1	3	-1.09756097560975	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	20191205203000	https://www.stokesentinel.co.uk/news/stoke-on-trent-news/general-election-chancellor-sajid-javid-3613097
891105026	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR								BUS	COMPANIES						BUS			0	0874	087	08	2	10.0	1	1	1	-1.09756097560975	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	4	Stoke-On-Trent, Stoke-on-Trent, United Kingdom	UK	UKN4	40131	53	-2.18333	-2608811	20191205203000	https://www.stokesentinel.co.uk/news/stoke-on-trent-news/general-election-chancellor-sajid-javid-3613097
891105027	20181205	201812	2018	2018.9178	GOV	CROWN PRINCE						GOV													0	010	010	01	1	0.0	1	1	1	-2.64040234702431	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								1	Argentina	AR	AR		-34	-64	AR	20191205203000	https://www.washingtoninstitute.org/policy-analysis/view/what-happens-when-everyones-trying-to-get-nukes
891105028	20181205	201812	2018	2018.9178	GOV	CROWN PRINCE						GOV													0	010	010	01	1	0.0	1	1	1	-2.64040234702431	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	0								4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20191205203000	https://www.washingtoninstitute.org/policy-analysis/view/what-happens-when-everyones-trying-to-get-nukes
