890887816	20181205	201812	2018	2018.9178											CAN	CANADA	CAN								1	042	042	04	1	1.9	4	1	4	0.58939096267191	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20191205000000	https://montrealgazette.com/news/quebec/good-idea-caq-says-of-liberal-proposal-but-we-thought-of-it-first
890887817	20181205	201812	2018	2018.9178	AUS	AUSTRALIAN	AUS								CAN	BRITISH COLUMBIA	CAN								0	042	042	04	1	1.9	2	2	2	-1.62037037037037	1	Australia	AS	AS		-25	135	AS	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20191205000000	http://www.980waav.com/news/instead-of-being-home-for-the-holidays-canadian-firefighters-head-to-australia-to-battle-wildfires/
890887818	20181205	201812	2018	2018.9178	AUS	AUSTRALIA	AUS								GBR	UNITED KINGDOM	GBR								0	042	042	04	1	1.9	8	2	8	-1.62037037037037	1	Australia	AS	AS		-25	135	AS	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20191205000000	http://www.980waav.com/news/instead-of-being-home-for-the-holidays-canadian-firefighters-head-to-australia-to-battle-wildfires/
890887819	20181205	201812	2018	2018.9178	AUS	AUSTRALIAN	AUS								GBR	BRITISH	GBR								0	042	042	04	1	1.9	2	2	2	-1.62037037037037	1	Canada	CA	CA		60	-96	CA	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20191205000000	http://www.980waav.com/news/instead-of-being-home-for-the-holidays-canadian-firefighters-head-to-australia-to-battle-wildfires/
890887820	20181205	201812	2018	2018.9178	AUSHLH	AUSTRALIAN	AUS					HLH													1	120	120	12	3	-4.0	3	1	3	-4.37158469945355	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20191205000000	https://www.theage.com.au/politics/western-australia/end-in-sight-for-epic-wa-euthanasia-debate-as-upper-house-finalises-draft-law-20191205-p53h2o.html
890887821	20181205	201812	2018	2018.9178	CAN	BRITISH COLUMBIA	CAN								AUS	AUSTRALIAN	AUS								0	043	043	04	1	2.8	2	2	2	-1.62037037037037	1	United Kingdom	UK	UK		54	-4	UK	1	Australia	AS	AS		-25	135	AS	1	United Kingdom	UK	UK		54	-4	UK	20191205000000	http://www.980waav.com/news/instead-of-being-home-for-the-holidays-canadian-firefighters-head-to-australia-to-battle-wildfires/
890887822	20181205	201812	2018	2018.9178	CHL	CHILE	CHL								CHLREL	CHILE	CHL								0	1041	104	10	3	-5.0	6	1	6	-5.50387596899225	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20191205000000	https://www.ksfy.com/content/news/Buffalo-bishop-resigns-under-fire-for-handling-of-misconduct-565794041.html
890887823	20181205	201812	2018	2018.9178	CHR	DIOCESE				CHR															0	0842	084	08	2	7.0	10	1	10	-6.76328502415459	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20191205000000	https://www.mpnnow.com/news/20191204/buffalo-bishop-under-fire-resigns
890887824	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	RUSSIA	RUS								1	112	112	11	3	-2.0	2	1	2	-6.60835762876579	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205000000	https://missoulian.com/news/world/germany-expels-russian-diplomats-in-probe-of-berlin-killing/article_e477fef0-8157-511a-af7c-92d3e1acec12.html
890887825	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	RUSSIA	RUS								1	1123	112	11	3	-2.0	10	1	10	-6.60835762876579	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205000000	https://missoulian.com/news/world/germany-expels-russian-diplomats-in-probe-of-berlin-killing/article_e477fef0-8157-511a-af7c-92d3e1acec12.html
890887826	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								ZWE	SALISBURY	ZWE								1	090	090	09	2	-2.0	10	1	10	-6.60835762876579	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205000000	https://missoulian.com/news/world/germany-expels-russian-diplomats-in-probe-of-berlin-killing/article_e477fef0-8157-511a-af7c-92d3e1acec12.html
890887827	20181205	201812	2018	2018.9178	FRA	PARIS	FRA																		1	0874	087	08	2	10.0	3	1	3	-1.52594099694812	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205000000	https://insurancenewsnet.com/oarticle/us-feels-the-heat-as-trump-pulls-out-of-global-climate-pact
890887828	20181205	201812	2018	2018.9178	FRA	PARIS	FRA																		1	0874	087	08	2	10.0	5	1	5	-1.52594099694812	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205000000	https://insurancenewsnet.com/oarticle/us-feels-the-heat-as-trump-pulls-out-of-global-climate-pact
890887829	20181205	201812	2018	2018.9178	GBR	BRITISH	GBR								AUS	AUSTRALIAN	AUS								0	043	043	04	1	2.8	2	2	2	-1.62037037037037	1	Australia	AS	AS		-25	135	AS	1	Canada	CA	CA		60	-96	CA	1	Australia	AS	AS		-25	135	AS	20191205000000	http://www.980waav.com/news/instead-of-being-home-for-the-holidays-canadian-firefighters-head-to-australia-to-battle-wildfires/
890887830	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR								AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	8	2	8	-1.62037037037037	1	United Kingdom	UK	UK		54	-4	UK	1	Australia	AS	AS		-25	135	AS	1	United Kingdom	UK	UK		54	-4	UK	20191205000000	http://www.980waav.com/news/instead-of-being-home-for-the-holidays-canadian-firefighters-head-to-australia-to-battle-wildfires/
890887831	20181205	201812	2018	2018.9178	JUD	FEDERAL COURT						JUD			USA	UNITED STATES	USA								1	015	015	01	1	0.0	6	1	6	-9.25925925925922	3	Carbon County, Pennsylvania, United States	US	USPA	PA025	41.1254	-75.6746	1213664	3	Carbon County, Pennsylvania, United States	US	USPA		41.1254	-75.6746	1213664	3	Carbon County, Pennsylvania, United States	US	USPA		41.1254	-75.6746	1213664	20191205000000	http://www.mcall.com/news/police/mc-nws-carbon-county-heroin-guilty-plea-20191204-rtia3zfmxncydeniiu46sjdctq-story.html
890887832	20181205	201812	2018	2018.9178	JUD	FEDERAL COURT						JUD			USA	PENNSYLVANIA	USA								1	015	015	01	1	0.0	2	1	2	-9.25925925925922	3	Carbon County, Pennsylvania, United States	US	USPA	PA025	41.1254	-75.6746	1213664	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	Carbon County, Pennsylvania, United States	US	USPA		41.1254	-75.6746	1213664	20191205000000	http://www.mcall.com/news/police/mc-nws-carbon-county-heroin-guilty-plea-20191204-rtia3zfmxncydeniiu46sjdctq-story.html
