891334199	20181206	201812	2018	2018.9205											AGO	ANGOLA	AGO								1	040	040	04	1	1.0	10	1	10	0.66666666666667	0								1	Angola	AO	AO		-12.5	18.5	AO	1	Angola	AO	AO		-12.5	18.5	AO	20191206193000	https://www.kpcnews.com/heraldrepublican/article_6969f692-1556-5615-8031-ac60f7d03b40.html
891334200	20181206	201812	2018	2018.9205	AGO	ANGOLA	AGO																		1	040	040	04	1	1.0	10	1	10	0.66666666666667	1	Angola	AO	AO		-12.5	18.5	AO	0								1	Angola	AO	AO		-12.5	18.5	AO	20191206193000	https://www.kpcnews.com/heraldrepublican/article_6969f692-1556-5615-8031-ac60f7d03b40.html
891334201	20181206	201812	2018	2018.9205	ARM	ARMENIA	ARM								EDU	STUDENT						EDU			0	040	040	04	1	1.0	1	1	1	5.20833333333334	1	Armenia	AM	AM		40	45	AM	1	Japan	JA	JA		36	138	JA	1	Armenia	AM	AM		40	45	AM	20191206193000	https://news.am/eng/news/548565.html
891334202	20181206	201812	2018	2018.9205	BGD	BANGLADESH	BGD								BGDGOV	BANGLADESH	BGD					GOV			1	043	043	04	1	2.8	2	1	2	2.30263157894736	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191206193000	https://www.thedailystar.net/backpage/news/modi-join-bangabandhu-birth-centenary-celebration-1836865
891334203	20181206	201812	2018	2018.9205	BGDGOV	BANGLADESH	BGD					GOV			BGD	BANGLADESH	BGD								1	042	042	04	1	1.9	2	1	2	2.30263157894736	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20191206193000	https://www.thedailystar.net/backpage/news/modi-join-bangabandhu-birth-centenary-celebration-1836865
891334204	20181206	201812	2018	2018.9205	BGDGOV	BANGLADESH	BGD					GOV			BGD	BANGLADESH	BGD								1	051	051	05	1	3.4	1	1	1	2.30263157894736	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191206193000	https://www.thedailystar.net/backpage/news/modi-join-bangabandhu-birth-centenary-celebration-1836865
891334205	20181206	201812	2018	2018.9205	BGDGOV	BANGLADESH	BGD					GOV			GOV	FOREIGN MINIST						GOV			1	051	051	05	1	3.4	1	1	1	2.30263157894736	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191206193000	https://www.thedailystar.net/backpage/news/modi-join-bangabandhu-birth-centenary-celebration-1836865
891334206	20181206	201812	2018	2018.9205	CHN	CHINA	CHN								CHRCTH	CATHOLIC				CHR	CTH				0	100	100	10	3	-5.0	1	1	1	0.92936802973977	4	Tangshan, Hebei, China	CH	CH10	13076	39.6333	118.183	-1928048	4	Tangshan, Hebei, China	CH	CH10	13076	39.6333	118.183	-1928048	4	Tangshan, Hebei, China	CH	CH10	13076	39.6333	118.183	-1928048	20191206193000	https://www.breitbart.com/asia/2019/12/06/govt-approved-chinese-bishop-insists-state-is-above-religion/
891334207	20181206	201812	2018	2018.9205	EDU	STUDENT						EDU			ARM	ARMENIA	ARM								0	040	040	04	1	1.0	1	1	1	5.20833333333334	1	Japan	JA	JA		36	138	JA	1	Armenia	AM	AM		40	45	AM	1	Armenia	AM	AM		40	45	AM	20191206193000	https://news.am/eng/news/548565.html
891334208	20181206	201812	2018	2018.9205	GBR	UNITED KINGDOM	GBR																		1	036	036	03	1	4.0	1	1	1	1.77777777777778	4	Ljubljana, Slovenia (general), Slovenia	SI	SI00	25577	46.0553	14.5144	-87271	0								4	Ljubljana, Slovenia (general), Slovenia	SI	SI00	25577	46.0553	14.5144	-87271	20191206193000	https://www.iconeye.com/architecture/news/item/13421-architecture-design-news-events-6-december-2019
891334209	20181206	201812	2018	2018.9205	GBR	UNITED KINGDOM	GBR								USA	FIRST STATE	USA								0	051	051	05	1	3.4	2	1	2	-3.44827586206897	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191206193000	https://www.thealpenanews.com/wire/?category=5014&ID=105273
891334210	20181206	201812	2018	2018.9205	GBR	UNITED KINGDOM	GBR								USA	FIRST STATE	USA								0	051	051	05	1	3.4	2	1	2	-3.44827586206897	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191206193000	https://www.thealpenanews.com/wire/?category=5014&ID=105273
891334211	20181206	201812	2018	2018.9205	GOV	PRIME MINISTER						GOV			BGD	BANGLADESH	BGD								1	051	051	05	1	3.4	2	1	2	2.30263157894736	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20191206193000	https://www.thedailystar.net/backpage/news/modi-join-bangabandhu-birth-centenary-celebration-1836865
891334212	20181206	201812	2018	2018.9205	REL	BISHOP									CHRCTH	CATHOLIC				CHR	CTH				0	100	100	10	3	-5.0	5	1	5	0.92936802973977	4	Tangshan, Hebei, China	CH	CH10	13076	39.6333	118.183	-1928048	4	Tangshan, Hebei, China	CH	CH10	13076	39.6333	118.183	-1928048	4	Tangshan, Hebei, China	CH	CH10	13076	39.6333	118.183	-1928048	20191206193000	https://www.breitbart.com/asia/2019/12/06/govt-approved-chinese-bishop-insists-state-is-above-religion/
