890915688	20181205	201812	2018	2018.9178											BUS	BUSINESS						BUS			1	190	190	19	4	-10.0	4	1	4	-0.97087378640777	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205020000	https://www.standard-freeholder.com/opinion/letters/letters-to-the-editor-dec-5-2019
890915689	20181205	201812	2018	2018.9178											BUS	BUSINESS						BUS			1	190	190	19	4	-10.0	6	1	6	-0.97087378640777	0								4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20191205020000	https://www.standard-freeholder.com/opinion/letters/letters-to-the-editor-dec-5-2019
890915690	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	RUSSIA	RUS								1	1123	112	11	3	-2.0	5	1	5	-6.7527308838133	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205020000	https://www.newsmax.com/newsfront/germany-russia-expels-diplomats/2019/12/04/id/944534/
890915691	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	RUSSIA	RUS								1	1123	112	11	3	-2.0	3	1	3	-6.7527308838133	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205020000	https://www.newsmax.com/newsfront/germany-russia-expels-diplomats/2019/12/04/id/944534/
890915692	20181205	201812	2018	2018.9178	FRA	PARIS	FRA																		1	0874	087	08	2	10.0	6	1	6	-1.50905432595573	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205020000	http://www.courant.com/business/sns-bc-climate-talks-goodbye-us-20191204-story.html
890915693	20181205	201812	2018	2018.9178	GOV	MINISTRY						GOV			NZL	CHRISTCHURCH	NZL								1	090	090	09	2	-2.0	10	1	10	-2.72727272727272	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20191205020000	https://www.stuff.co.nz/business/117962548/defects-in-eightstorey-christchurch-office-block-confirmed-by-review
890915694	20181205	201812	2018	2018.9178	GOV	ATTORNEY GENERAL						GOV			USA	WASHINGTON	USA								1	051	051	05	1	3.4	8	1	8	1.31795716639209	3	Cohasset, Washington, United States	US	USWA	WA037	46.8529	-119.969	1511816	2	Washington, United States	US	USWA		47.3917	-121.571	WA	3	Cohasset, Washington, United States	US	USWA	WA037	46.8529	-119.969	1511816	20191205020000	https://www.patriotledger.com/news/20191204/us-attorney-general-honors-cohasset-cops-who-stopped-stabbing
890915695	20181205	201812	2018	2018.9178	USA	WASHINGTON	USA																		1	190	190	19	4	-10.0	10	1	10	1.31795716639209	2	Washington, United States	US	USWA		47.3917	-121.571	WA	0								3	Cohasset, Washington, United States	US	USWA	WA037	46.8529	-119.969	1511816	20191205020000	https://www.patriotledger.com/news/20191204/us-attorney-general-honors-cohasset-cops-who-stopped-stabbing
890915696	20181205	201812	2018	2018.9178	USA	AMERICAN	USA								KOR	SOUTH KOREA	KOR								0	112	112	11	3	-2.0	8	1	8	-1.61104718066744	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20191205020000	https://www.news.com.au/finance/work/leaders/pictures-of-north-korean-leader-reveal-scary-nuclear-truth/news-story/16394a70d2388f2e02fcf6d050ab29ca
890915697	20181205	201812	2018	2018.9178	USA	AMERICAN	USA								KOR	SOUTH KOREA	KOR								0	112	112	11	3	-2.0	2	1	2	-1.61104718066744	1	North Korea	KN	KN		40	127	KN	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205020000	https://www.news.com.au/finance/work/leaders/pictures-of-north-korean-leader-reveal-scary-nuclear-truth/news-story/16394a70d2388f2e02fcf6d050ab29ca
