891065633	20091207	200912	2009	2009.9233	SGP	SINGAPORE	SGP																		1	110	110	11	3	-2.0	5	1	5	-3.32294911734164	1	Singapore	SN	SN		1.366667	103.8	SN	0								1	Singapore	SN	SN		1.366667	103.8	SN	20191205170000	https://www.cfr.org/blog/looking-ahead-next-year-southeast-asias-big-2020-elections
891065634	20181205	201812	2018	2018.9178											CVL	ENGINEER						CVL			1	043	043	04	1	2.8	4	1	4	0.561797752808987	0								2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20191205170000	https://www.gonzagabulletin.com/news/gonzaga-asme-rocketry-club-soars-to-the-spaceport-america-cup/article_b68cddc8-0b33-11ea-bdf2-4376df25678d.html
891065635	20181205	201812	2018	2018.9178											RUS	RUSSIA	RUS								1	042	042	04	1	1.9	6	1	6	-0.677966101694915	0								4	Rostov-On-Don, Rostovskaya Oblast', Russia	RS	RS61	25090	47.2364	39.7139	-2993218	4	Kolpino, Sankt-Peterburg, Russia	RS	RS66	25070	59.7442	30.5794	-2931340	20191205170000	https://tass.com/defense/1096137
891065636	20181205	201812	2018	2018.9178	AUT	VIENNA	AUT								JUD	ATTORNEY						JUD			0	043	043	04	1	2.8	6	1	6	-1.30548302872063	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20191205170000	https://www.buzzfeednews.com/article/emmaloop/impeachment-giuliani-white-house-phone-records
891065637	20181205	201812	2018	2018.9178	AUT	VIENNA	AUT								USA	UNITED STATES	USA								0	043	043	04	1	2.8	1	1	1	-1.30548302872063	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	2	California, United States	US	USCA		36.17	-119.746	CA	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20191205170000	https://www.buzzfeednews.com/article/emmaloop/impeachment-giuliani-white-house-phone-records
891065638	20181205	201812	2018	2018.9178	AUT	VIENNA	AUT								USA	UNITED STATES	USA								0	043	043	04	1	2.8	1	1	1	-1.30548302872063	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	California, United States	US	USCA		36.17	-119.746	CA	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20191205170000	https://www.buzzfeednews.com/article/emmaloop/impeachment-giuliani-white-house-phone-records
891065639	20181205	201812	2018	2018.9178	COP	POLICE						COP													1	081	081	08	2	5.0	10	1	10	-3.03797468354431	1	New Zealand	NZ	NZ		-42	174	NZ	0								1	New Zealand	NZ	NZ		-42	174	NZ	20191205170000	https://www.stuff.co.nz/national/politics/117981753/police-concerned-cannabis-reform-can-not-be-policed-and-shut-out-gangs-from-black-market
891065640	20181205	201812	2018	2018.9178	CVL	ENGINEER						CVL													1	042	042	04	1	1.9	4	1	4	0.561797752808987	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	0								2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20191205170000	https://www.gonzagabulletin.com/news/gonzaga-asme-rocketry-club-soars-to-the-spaceport-america-cup/article_b68cddc8-0b33-11ea-bdf2-4376df25678d.html
891065641	20181205	201812	2018	2018.9178	CVL	ENGINEER						CVL			USA	UNITED STATES	USA								1	042	042	04	1	1.9	6	1	6	0.561797752808987	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20191205170000	https://www.gonzagabulletin.com/news/gonzaga-asme-rocketry-club-soars-to-the-spaceport-america-cup/article_b68cddc8-0b33-11ea-bdf2-4376df25678d.html
891065642	20181205	201812	2018	2018.9178	JUD	ATTORNEY						JUD			AUT	VIENNA	AUT								0	042	042	04	1	1.9	6	1	6	-1.30548302872063	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20191205170000	https://www.buzzfeednews.com/article/emmaloop/impeachment-giuliani-white-house-phone-records
891065643	20181205	201812	2018	2018.9178	JUD	ATTORNEY						JUD			UKRELI	UKRAINIAN	UKR					ELI			0	040	040	04	1	1.0	6	1	6	-1.30548302872063	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	1	Ukraine	UP	UP		49	32	UP	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20191205170000	https://www.buzzfeednews.com/article/emmaloop/impeachment-giuliani-white-house-phone-records
891065644	20181205	201812	2018	2018.9178	KHM	PHNOM PENH	KHM																		0	017	017	01	1	0.0	10	1	10	1.45985401459854	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	0								4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	20191205170000	https://www.phnompenhpost.com/national/focus-youth-govt-un-mark-human-rights-day
