890912964	20181205	201812	2018	2018.9178	AUS	AUSTRALIAN	AUS								LEG	SENATE						LEG			1	046	046	04	1	7.0	10	1	10	0	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20191205014500	http://www.australianflying.com.au/latest/agaa-plans-ga-summit-for-2020
890912965	20181205	201812	2018	2018.9178	AUS	AUSTRALIA	AUS								MNCJPN	TOYOTA	JPN					MNC			1	036	036	03	1	4.0	10	1	10	2.5	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20191205014500	https://www.carsguide.com.au/car-news/did-you-miss-out-on-a-toyota-supra-gr-2020-a-fresh-new-crop-is-on-its-way-77216
890912966	20181205	201812	2018	2018.9178	BUS	COMPANY						BUS			CAN	CANADA	CAN								0	010	010	01	1	0.0	3	1	3	-2.10437710437711	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20191205014500	https://www.thestar.com/vancouver/2019/12/04/huawei-is-moving-its-rd-centre-from-the-us-to-canada-but-does-canada-want-it.html
890912967	20181205	201812	2018	2018.9178	FRA	PARIS	FRA																		1	0874	087	08	2	10.0	6	1	6	-1.56087408949011	3	Department Of Energy, District of Columbia, United States	US	USDC	DC001	38.8862	-77.025	530856	0								3	Department Of Energy, District of Columbia, United States	US	USDC		38.8862	-77.025	530856	20191205014500	https://www.newsandtribune.com/cnhi_network/us-feels-the-heat-as-trump-pulls-out-of-global/article_5cdd1e80-16fc-11ea-8435-5b1eef16ba54.html
890912968	20181205	201812	2018	2018.9178	ISR	ISRAEL	ISR								IRN	IRANIAN	IRN								0	195	195	19	4	-10.0	8	1	8	-4.83870967741935	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20191205014500	https://www.theglobeandmail.com/world/article-us-claims-iran-is-quietly-moving-missiles-into-iraq/
890912969	20181205	201812	2018	2018.9178	LEG	CONGRESS						LEG													1	081	081	08	2	5.0	10	1	10	-0.48192771084338	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20191205014500	http://www.startribune.com/hemp-industry-is-cleared-to-do-business-with-banks/565812592/
890912970	20181205	201812	2018	2018.9178	MNCJPN	TOYOTA	JPN					MNC			AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	10	1	10	2.5	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20191205014500	https://www.carsguide.com.au/car-news/did-you-miss-out-on-a-toyota-supra-gr-2020-a-fresh-new-crop-is-on-its-way-77216
890912971	20181205	201812	2018	2018.9178	TKM	TURKMENISTAN	TKM								CHN	CHINA	CHN								1	061	061	06	2	6.4	10	1	10	-1.8957345971564	4	Ashgabat, Ahal, Turkmenistan	TX	TX01	147325	37.95	58.3833	-2557812	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Ashgabat, Ahal, Turkmenistan	TX	TX01	147325	37.95	58.3833	-2557812	20191205014500	https://www.europesun.com/news/263286289/is-new-russia-china-gas-pipeline-a-threat-to-turkmenistan
890912972	20191105	201911	2019	2019.8356	LAB	EMPLOYEE						LAB													0	026	026	02	1	4.0	3	1	3	-0.97323600973236	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205014500	https://www.businessinsider.com/amazon-web-services-ceo-andy-jassy-jedi-aws-reinvent-2019-12
890912973	20191105	201911	2019	2019.8356	LAB	EMPLOYEE						LAB			USA	UNITED STATES	USA								0	036	036	03	1	4.0	2	1	2	-0.97323600973236	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205014500	https://www.businessinsider.com/amazon-web-services-ceo-andy-jassy-jedi-aws-reinvent-2019-12
890912974	20191105	201911	2019	2019.8356	USA	UNITED STATES	USA																		1	010	010	01	1	0.0	4	1	4	0.54757015742642	3	Cumberland Island, Georgia, United States	US	USGA	GA039	30.8511	-81.4484	355406	0								3	Cumberland Island, Georgia, United States	US	USGA		30.8511	-81.4484	355406	20191205014500	https://www.eenews.net/stories/1061722689
890912975	20191105	201911	2019	2019.8356	USA	UNITED STATES	USA																		1	014	014	01	1	0.0	6	1	6	-4.73933649289099	3	Topeka, Kansas, United States	US	USKS	KS177	39.0483	-95.678	485477	0								3	Topeka, Kansas, United States	US	USKS	KS177	39.0483	-95.678	485477	20191205014500	https://www.kmbc.com/article/congressman-tangled-in-voter-fraud-perjury-allegations-over-voting-address/30124488
890912976	20191105	201911	2019	2019.8356	USA	UNITED STATES	USA																		1	030	030	03	1	4.0	2	1	2	0.54757015742642	3	Cumberland Island, Georgia, United States	US	USGA	GA039	30.8511	-81.4484	355406	0								3	Cumberland Island, Georgia, United States	US	USGA		30.8511	-81.4484	355406	20191205014500	https://www.eenews.net/stories/1061722689
