891043150	20091207	200912	2009	2009.9233	JEW	JEWISH				JEW					GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	2	1	2	5.91133004926109	4	Redbridge, Southampton, United Kingdom	UK	UKM4	40112	50.9167	-1.46667	-2606078	4	Redbridge, Southampton, United Kingdom	UK	UKM4	40112	50.9167	-1.46667	-2606078	4	Redbridge, Southampton, United Kingdom	UK	UKM4	40112	50.9167	-1.46667	-2606078	20191205151500	https://www.thisislocallondon.co.uk/news/18081947.redbridge-jewish-care-charitys-q-lunch-journalist-nick-ferrari-raises-33k/
891043151	20181205	201812	2018	2018.9178											MNCUSAMED	GOOGLE	USA					MNC	MED		0	042	042	04	1	1.9	4	1	4	1.90336749633968	0								1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20191205151500	https://tuoitrenews.vn/news/education/20191205/150000-students-to-join-googlebacked-free-programming-courses-in-vietnam/52106.html
891043152	20181205	201812	2018	2018.9178											VNM	VIETNAM	VNM								0	042	042	04	1	1.9	1	1	1	1.90336749633968	0								4	Vinh Long, Vinh Long, Vietnam, Republic Of	VM	VM69	32660	10.25	105.967	-3733470	4	Vinh Long, Vinh Long, Vietnam, Republic Of	VM	VM69	32660	10.25	105.967	-3733470	20191205151500	https://tuoitrenews.vn/news/education/20191205/150000-students-to-join-googlebacked-free-programming-courses-in-vietnam/52106.html
891043153	20181205	201812	2018	2018.9178	BRA	BRAZILIAN	BRA								BRAJUD	BRAZIL	BRA					JUD			1	090	090	09	2	-2.0	8	2	8	-7.74647887323944	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20191205151500	https://www.sfgate.com/news/crime/article/UK-anti-fraud-agency-investigating-commodities-14883998.php
891043154	20181205	201812	2018	2018.9178	BRAJUD	BRAZILIAN	BRA					JUD													1	090	090	09	2	-2.0	12	2	12	-7.74647887323944	1	Brazil	BR	BR		-10	-55	BR	0								1	Brazil	BR	BR		-10	-55	BR	20191205151500	https://www.sfgate.com/news/crime/article/UK-anti-fraud-agency-investigating-commodities-14883998.php
891043155	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR																		0	051	051	05	1	3.4	2	1	2	10.4938271604939	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	0								4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	20191205151500	https://www.harrogate-news.co.uk/2019/12/05/bake-off-star-takes-centre-stage-at-this-years-harrogate-country-living-fair/
891043156	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR								NLD	NETHERLANDS	NLD								1	173	173	17	4	-5.0	2	1	2	-4.79651162790698	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Netherlands	NL	NL		52.5	5.75	NL	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205151500	https://www.theguardian.com/society/2019/dec/05/cocaine-seizures-in-england-and-wales-at-highest-level-since-1973
891043157	20181205	201812	2018	2018.9178	GOV	MINIST						GOV													1	014	014	01	1	0.0	5	1	5	-6.1576354679803	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	0								4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	20191205151500	https://invezz.com/news/alternative-investments/eu-backs-plans-for-tighter-money-laundering-supervision/
891043158	20181205	201812	2018	2018.9178	MNCUSAMED	GOOGLE	USA					MNC	MED												0	043	043	04	1	2.8	4	1	4	1.90336749633968	1	Singapore	SN	SN		1.366667	103.8	SN	0								1	Singapore	SN	SN		1.366667	103.8	SN	20191205151500	https://tuoitrenews.vn/news/education/20191205/150000-students-to-join-googlebacked-free-programming-courses-in-vietnam/52106.html
891043159	20181205	201812	2018	2018.9178	MNCUSAMED	GOOGLE	USA					MNC	MED		VNM	VIETNAM	VNM								0	043	043	04	1	2.8	2	1	2	1.90336749633968	4	Ho Chi Minh City, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	4	Ho Chi Minh City, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	4	Ho Chi Minh City, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	20191205151500	https://tuoitrenews.vn/news/education/20191205/150000-students-to-join-googlebacked-free-programming-courses-in-vietnam/52106.html
