891166318	20181206	201812	2018	2018.9205											USA	UNITED STATES	USA								0	130	130	13	3	-4.4	4	1	4	-9.99342537804079	0								3	Crystal Lake, Illinois, United States	US	USIL		42.2411	-88.3162	406868	3	Crystal Lake, Illinois, United States	US	USIL		42.2411	-88.3162	406868	20191206020000	https://scallywagandvagabond.com/2019/12/aj-freund-mom-joann-cunningham-pleads-guilty-murder/
891166319	20181206	201812	2018	2018.9205	GOV	GOVERNMENT						GOV													1	030	030	03	1	4.0	4	1	4	-0.92531394580304	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20191206020000	https://www.winnipegfreepress.com/local/privately-donated-homeless-warming-sheds-removed-by-city-565853082.html
891166320	20181206	201812	2018	2018.9205	GOV	GOVERNMENT						GOV			CAN	CANADA	CAN								1	030	030	03	1	4.0	4	1	4	-0.92531394580304	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20191206020000	https://www.winnipegfreepress.com/local/privately-donated-homeless-warming-sheds-removed-by-city-565853082.html
891166321	20181206	201812	2018	2018.9205	GOV	GOVERNMENT						GOV			CAN	CANADA	CAN								1	030	030	03	1	4.0	10	1	8	-0.92531394580304	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20191206020000	https://www.winnipegfreepress.com/local/privately-donated-homeless-warming-sheds-removed-by-city-565853082.html
891166322	20181206	201812	2018	2018.9205	LAO	LAOS	LAO																		1	110	110	11	3	-2.0	4	1	4	5.41310541310541	4	Vientiane, (LA11), Laos	LA	LA11	27147	17.9667	102.6	-2669740	0								4	Vientiane, (LA11), Laos	LA	LA11	27147	17.9667	102.6	-2669740	20191206020000	https://www.thestar.com.my/news/regional/2019/12/06/miss-laos-costume-honours-elephants
891166323	20181206	201812	2018	2018.9205	LEG	CONGRESS						LEG			MEX	MEXICO	MEX								1	057	057	05	1	8.0	2	1	2	-2.46305418719212	1	Canada	CA	CA		60	-96	CA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	1	Canada	CA	CA		60	-96	CA	20191206020000	https://medicinehatnews.com/news/world-news/2019/12/05/us-trade-gap-narrows-as-imports-fall-amid-china-conflict/
891166324	20181206	201812	2018	2018.9205	LEG	CONGRESS						LEG			MEX	MEXICO	MEX								1	057	057	05	1	8.0	8	1	8	-2.46305418719212	1	Canada	CA	CA		60	-96	CA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20191206020000	https://medicinehatnews.com/news/world-news/2019/12/05/us-trade-gap-narrows-as-imports-fall-amid-china-conflict/
891166325	20181206	201812	2018	2018.9205	SAUMED	SAUDI	SAU					MED			SAU	SAUDI ARABIA	SAU								0	111	111	11	3	-2.0	10	1	10	-0.2436053593179	4	Dhahran, Ash Sharqiyah, Saudi Arabia	SA	SA06	25307	26.3032	50.1353	-3093628	4	Dhahran, Ash Sharqiyah, Saudi Arabia	SA	SA06	25307	26.3032	50.1353	-3093628	4	Dhahran, Ash Sharqiyah, Saudi Arabia	SA	SA06	25307	26.3032	50.1353	-3093628	20191206020000	https://www.reuters.com/www.reuters.com/article/us-saudi-aramco-ipo/saudi-aramco-prices-shares-at-top-of-range-in-worlds-biggest-ipo-idUSKBN1Y91QB
891166326	20181206	201812	2018	2018.9205	SAUMED	SAUDI	SAU					MED			SAUGOV	SAUDI	SAU					GOV			0	111	111	11	3	-2.0	6	1	6	-0.2436053593179	4	Dhahran, Ash Sharqiyah, Saudi Arabia	SA	SA06	25307	26.3032	50.1353	-3093628	4	Dhahran, Ash Sharqiyah, Saudi Arabia	SA	SA06	25307	26.3032	50.1353	-3093628	4	Dhahran, Ash Sharqiyah, Saudi Arabia	SA	SA06	25307	26.3032	50.1353	-3093628	20191206020000	https://www.reuters.com/www.reuters.com/article/us-saudi-aramco-ipo/saudi-aramco-prices-shares-at-top-of-range-in-worlds-biggest-ipo-idUSKBN1Y91QB
891166327	20181206	201812	2018	2018.9205	USA	UNITED STATES	USA																		1	012	012	01	1	-0.4	1	1	1	-2.23713646532439	1	China	CH	CH		35	105	CH	0								1	Russia	RS	RS		60	100	RS	20191206020000	http://www.tribune242.com/news/2019/dec/05/stateside-time-when-president-didnt-always-get-his/
