891126787	20181205	201812	2018	2018.9178	BHR	BAHRAIN	BHR								JOR	JORDANIAN	JOR								0	050	050	05	1	3.5	2	1	2	-1.01694915254238	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20191205224500	https://www.jpost.com/Middle-East/UAE-expresses-official-support-for-Syrian-govt-610050
891126788	20181205	201812	2018	2018.9178	BHR	BAHRAIN	BHR								JOR	JORDANIAN	JOR								0	050	050	05	1	3.5	2	1	2	-1.01694915254238	1	Bahrain	BA	BA		26	50.5	BA	1	Jordan	JO	JO		31	36	JO	1	Bahrain	BA	BA		26	50.5	BA	20191205224500	https://www.jpost.com/Middle-East/UAE-expresses-official-support-for-Syrian-govt-610050
891126789	20181205	201812	2018	2018.9178	BHR	BAHRAIN	BHR								JORLEG	JORDANIAN	JOR					LEG			0	050	050	05	1	3.5	6	1	6	-1.01694915254238	1	Bahrain	BA	BA		26	50.5	BA	1	Jordan	JO	JO		31	36	JO	1	Bahrain	BA	BA		26	50.5	BA	20191205224500	https://www.jpost.com/Middle-East/UAE-expresses-official-support-for-Syrian-govt-610050
891126790	20181205	201812	2018	2018.9178	BHR	BAHRAIN	BHR								SYRGOV	SYRIA	SYR					GOV			0	050	050	05	1	3.5	2	1	2	-1.01694915254238	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20191205224500	https://www.jpost.com/Middle-East/UAE-expresses-official-support-for-Syrian-govt-610050
891126791	20181205	201812	2018	2018.9178	BHR	BAHRAIN	BHR								SYRGOV	SYRIA	SYR					GOV			0	050	050	05	1	3.5	8	1	8	-1.01694915254238	1	Bahrain	BA	BA		26	50.5	BA	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	1	Bahrain	BA	BA		26	50.5	BA	20191205224500	https://www.jpost.com/Middle-East/UAE-expresses-official-support-for-Syrian-govt-610050
891126792	20181205	201812	2018	2018.9178	BUS	COMPANY						BUS			DNK	DANISH	DNK								1	060	060	06	2	6.0	8	1	8	1.8957345971564	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	20191205224500	https://www.energycentral.com/news/sununu-wants-offshore-wind-farm
891126793	20181205	201812	2018	2018.9178	GOV	GOVERNMENT						GOV													1	141	141	14	3	-6.5	10	1	10	-3.74149659863946	1	Hong Kong	HK	HK		22.25	114.166667	HK	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	20191205224500	http://www.thestandard.com.hk/section-news.php?id=214235
891126794	20181205	201812	2018	2018.9178	USA	OREGON	USA								CHN	CHINA	CHN								1	061	061	06	2	6.4	7	1	7	1.22511485451761	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20191205224500	https://www.capitalpress.com/state/oregon/oregon-hazelnut-growers-look-to-penetrate-new-export-markets/article_4761ebe6-1795-11ea-8ff0-f7250c5a7a37.html
891126795	20191105	201911	2019	2019.8356											CHR	CHRISTIAN				CHR					0	020	020	02	1	3.0	6	1	6	-4.18410041841004	0								3	Hattiesburg, Mississippi, United States	US	USMS	MS035	31.3271	-89.2903	691565	3	Hattiesburg, Mississippi, United States	US	USMS	MS035	31.3271	-89.2903	691565	20191205224500	https://www.meridianstar.com/news/local_news/andreacchio-family-sues-meridian-s-chief-administrative-officer/article_d66c7a35-025a-5ed8-a52f-95d00b8283ca.html
891126796	20191105	201911	2019	2019.8356											CHR	CHRISTIAN				CHR					0	090	090	09	2	-2.0	6	1	6	-4.18410041841004	0								3	Hattiesburg, Mississippi, United States	US	USMS	MS035	31.3271	-89.2903	691565	3	Hattiesburg, Mississippi, United States	US	USMS	MS035	31.3271	-89.2903	691565	20191205224500	https://www.meridianstar.com/news/local_news/andreacchio-family-sues-meridian-s-chief-administrative-officer/article_d66c7a35-025a-5ed8-a52f-95d00b8283ca.html
